"sample_id","post_effective_coi_lower","post_effective_coi_med","post_effective_coi_upper","post_effective_coi_mean"
"Z20179",1,1,1,1
"Z20181",1.85446416959167,1.93378362804651,1.98381158886477,1.93113369898684
"Z20182",1,1,1,1.00002536696196
"Z20189",1,1,1,1
"Z20190",1.13153572827578,1.21291124820709,1.31788941919804,1.21541482776403
"Z20192",1,1,1,1
"Z20194",1,1,1,1
"Z20197",3.32814592942595,3.58881635218859,3.85601128302515,3.58964791195281
"Z20198",1,1,1,1
"Z20203",2.60367320403457,2.75577878206968,2.90382701400667,2.75771011129022
"Z20204",1,1,1,1
"Z20207",1,1,1,1
"Z20211",1,1,1,1
"Z20214",1,1,1,1.00002662742138
"Z20219",1.71670654714108,1.88447237014771,2.06891020387411,1.88495418131351
"Z20220",1.1708981603384,1.27044802904129,1.38393554389477,1.27177785420418
"Z20221",1.04406603425741,1.0900576710701,1.16639771908522,1.09420028990507
"Z20222",1.56783498749137,1.68474459648132,1.79655579924583,1.68413016326725
"Z20227",1.72875257283449,1.85222101211548,2.02805572152138,1.85641113740578
"Z20231",2.00529018044472,2.19442540407181,2.39426297098398,2.19504131263494
"Z20233",1,1,1,1
"Z20238",1,1,1,1
"Z20242",1,1,1,1
"Z20245",2.76187574714422,3.00102949142456,3.30937053561211,3.01154954859614
"Z20247",1.23752696216106,1.34587389230728,1.46088338196278,1.34672186303139
"Z20248",1,1,1,1
"Z20249",1.40117388665676,1.50411838293076,1.61110258176923,1.50582831797004
"Z20252",1,1,1,1
"Z20256",1,1,1,1
"Z20262",1,1,1,1
"Z20263",1,1,1,1
"Z20264",1,1,1,1
"Z20265",1,1,1,1
"Z20267",1.84457558467984,1.92851584032178,1.97995720673352,1.9243815866597
"Z20268",1.46749539077282,1.59683042764664,1.77139005661011,1.60340692685544
"Z20271",1,1,1,1
"Z20272",1,1,1,1
"Z20273",1,1,1,1.00074563938379
"Z20278",1.77385693490505,1.93005567789078,2.12617884278297,1.9367964848876
"Z20279",1,1,1,1
"Z20284",1.38398683965206,1.48755487799644,1.60219385325909,1.48825798815489
"Z20287",1,1,1,1
"Z20288",1,1,1,1
"Z20289",1,1,1,1
"Z20291",1,1,1,1
"Z20293",1,1,1,1
"Z20302",1.47550043910742,1.58741290867329,1.70078630447388,1.58862792173028
"Z20305",1,1,1,1
"Z20308",1.33056636601686,1.43023818731308,1.54990604072809,1.43415966337919
"Z20309",2.85066559612751,3.09873333573341,3.37770027853549,3.10303671170771
"Z20312",1,1,1,1
"Z20313",1.45666997432709,1.5669838488102,1.69814566969872,1.56937140142918
"Z20314",1,1,1.08796145170927,1.01347907143831
"Z20315",2.18867767602205,2.42273017764091,2.66080592498183,2.42336335292459
"Z20316",2.68898220658302,2.95553793013096,3.20360396429896,2.9520057220459
"Z20317",1,1,1,1
"Z20318",1,1,1,1
"Z20320",2.18950945436954,2.36148378252983,2.56769225746393,2.36583322280645
"Z20323",2.97557782009244,3.21255403757095,3.5192072302103,3.21741226235032
"Z20324",1.7463909894228,1.85776544362307,1.93342927284539,1.8528847028818
"Z20328",1,1,1,1
"Z20330",1,1,1,1
"Z20332",1,1,1,1
"Z20335",1,1,1,1.00030835103989
"Z20336",1,1,1,1
"Z20337",1,1,1,1
"Z20338",1,1,1,1
"Z20339",1.24592254906893,1.34624099731445,1.45228088200092,1.34828171053529
"Z20340",1,1,1,1.00003891313076
"Z20341",1,1,1,1
"Z20342",1,1,1,1
"Z20343",1.61857600808144,1.76735997200012,1.92945885658264,1.76361707898974
"Z20344",1.52486764714122,1.63969559967518,1.76771683171391,1.64035657019913
"Z20347",1,1,1,1
"Z20349",1.81419027894735,2.00674617290497,2.28819459080696,2.01840204288624
"Z20353",1,1,1,1
"Z20354",1,1,1,1
"Z20362",1,1,1,1
"Z20366",1.67821934744716,1.77984046936035,1.86921068616211,1.77672869326919
"Z20369",1.35300041437149,1.46085947751999,1.57073926478624,1.46147990560532
"Z20370",1,1,1,1
"Z20371",1,1,1.07414055615664,1.00541376519203
"Z20372",1,1,1,1.00024614322186
"Z20378",1.79594274163246,1.88414382189512,1.96200070912018,1.88468013511784
"Z20380",1.44623062908649,1.56141808629036,1.68178477957845,1.5625337023139
"Z20382",1,1,1,1
"Z20388",1.57310250923038,1.6809983253479,1.79078093022108,1.68062583088875
"Z20390",1.65882262587547,1.77558171749115,1.88299660999328,1.77624570401013
"Z20394",1.08447009474039,1.15790435671806,1.2530124232173,1.16106059575081
"Z20395",1,1,1,1
"Z20396",2.78792657740414,3.1263287961483,3.40994036309421,3.11639411837608
"Z20398",1.5942195944488,1.70456328988075,1.81591683588922,1.70552454392612
"Z20399",1,1,1,1
"Z20400",3.17458377406001,3.45390748977661,3.78979482352734,3.45939917704463
"Z20404",1.35851843655109,1.48120510578156,1.6285465747118,1.48701335287094
"Z20405",1.71308774799109,1.82158917188644,1.91923644058406,1.81910454288125
"Z20415",1,1,1,1
"Z20416",1.21558794230223,1.30144220590591,1.41600889712572,1.30372880262136
"Z20417",1.21296899467707,1.30424970388412,1.39776065349579,1.3046991314292
"Z20419",1,1,1,1
